id,threat,lat,lon
416,3,-36.657628364583886,-72.96939050321285
417,3,-36.65800042153551,-72.95822830518532
418,2,-36.65837143561508,-72.94706590262727
419,2,-36.65874140676238,-72.93590329610899
420,3,-36.65911033491739,-72.92474048620076
421,3,-36.659478220020226,-72.91357747347298
422,3,-36.65984506201121,-72.90241425849608
423,3,-36.66021086083079,-72.89125084184056
424,2,-36.660575616419614,-72.88008722407702
425,3,-36.66093932871848,-72.86892340577607
426,3,-36.661301997668346,-72.85775938750842
427,3,-36.66166362321036,-72.84659516984486
428,3,-36.66202420528583,-72.83543075335619
429,2,-36.66238374383622,-72.82426613861331
430,2,-36.66274223880318,-72.8131013261872
431,3,-36.663099690128504,-72.80193631664885
432,2,-36.66345609775417,-72.79077111056937
433,2,-36.663811461622316,-72.77960570851991
434,2,-36.66416578167525,-72.76844011107165
435,2,-36.664519057855465,-72.75727431879591
436,2,-36.66487129010558,-72.746108332264
437,2,-36.66522247836843,-72.73494215204734
438,2,-36.665572622586986,-72.72377577871737
439,2,-36.665921722704375,-72.71260921284563
440,2,-36.666269778663946,-72.70144245500371
441,2,-36.66661679040916,-72.69027550576324
442,2,-36.66696275788366,-72.67910836569595
443,2,-36.66730768103129,-72.6679410353736
444,3,-36.667651559796006,-72.65677351536804
445,2,-36.660913803702655,-73.13728044914563
446,3,-36.661301622667025,-73.12612009652392
447,3,-36.661688399344285,-73.11495953072843
448,2,-36.66207413367169,-73.10379875232864
449,2,-36.66245882558668,-73.09263776189414
450,3,-36.66624839840772,-72.98101632099262
451,4,-36.666621619704294,-72.96985303578695
452,3,-36.666993797850665,-72.95868954538665
453,3,-36.667364932786406,-72.94752585036213
454,3,-36.66773502445129,-72.93636195128387
455,2,-36.66810407278527,-72.9251978487225
456,3,-36.668472077728445,-72.91403354324862
457,3,-36.66883903922107,-72.90286903543293
458,3,-36.669204957203625,-72.89170432584622
459,3,-36.669569831616656,-72.8805394150593
460,3,-36.66993366240099,-72.8693743036431
461,2,-36.670296449497535,-72.85820899216853
462,2,-36.67065819284741,-72.84704348120664
463,2,-36.6710188923919,-72.83587777132853
464,2,-36.671378548072425,-72.82471186310534
465,2,-36.67173715983061,-72.81354575710829
466,2,-36.672094727608254,-72.80237945390867
467,2,-36.67245125134727,-72.79121295407782
468,2,-36.67280673098977,-72.78004625818714
469,2,-36.67316116647805,-72.76887936680812
470,2,-36.67351455775456,-72.75771228051227
471,2,-36.673866904761915,-72.7465449998712
472,2,-36.6742182074429,-72.73537752545658
473,2,-36.67456846574045,-72.72420985784012
474,3,-36.674917679597705,-72.71304199759362
475,2,-36.67526584895793,-72.7018739452889
476,2,-36.67561297376459,-72.69070570149788
477,2,-36.67595905396133,-72.67953726679255
478,2,-36.67630408949192,-72.6683686417449
479,2,-36.6766480803003,-72.65719982692707
480,3,-36.676991026330626,-72.64603082291119
481,3,-36.66990518123409,-73.137762569633
482,3,-36.67029312649681,-73.12660092550581
483,3,-36.67068002913422,-73.1154390681072
484,3,-36.67106588908357,-73.10427699800688
485,2,-36.67145070628226,-73.0931147157747
486,3,-36.675241513330214,-72.98148035161057
487,3,-36.67561485618781,-72.97031577355574
488,3,-36.675987155556605,-72.95915099021221
489,3,-36.676358411376135,-72.94798600215067
490,3,-36.67672862358614,-72.93682080994192
491,3,-36.67709779212657,-72.92565541415674
492,3,-36.67746591693746,-72.91448981536607
493,3,-36.67783299795905,-72.90332401414085
494,3,-36.678199035131776,-72.8921580110521
495,3,-36.67856402839621,-72.8809918066709
496,2,-36.67892797769307,-72.86982540156845
497,2,-36.6792908829633,-72.85865879631594
498,2,-36.679652744147965,-72.84749199148466
499,2,-36.68001356118831,-72.83632498764595
500,2,-36.68037333402575,-72.82515778537122
501,2,-36.680732062601884,-72.81399038523197
502,3,-36.68108974685844,-72.80282278779973
503,2,-36.681446386737356,-72.79165499364609
504,2,-36.68180198218069,-72.78048700334273
505,2,-36.6821565331307,-72.7693188174614
506,2,-36.68251003952984,-72.75815043657386
507,2,-36.682862501320656,-72.74698186125197
508,2,-36.68321391844593,-72.73581309206767
509,2,-36.683564290848565,-72.72464412959293
510,2,-36.683913618471685,-72.71347497439982
511,2,-36.684261901258516,-72.70230562706038
512,2,-36.684609139152506,-72.69113608814685
513,2,-36.68495533209724,-72.67996635823144
514,2,-36.68530048003648,-72.66879643788641
515,2,-36.68564458291416,-72.65762632768416
516,2,-36.685987640674384,-72.64645602819706
517,2,-36.68632965326141,-72.63528553999761
518,2,-36.68667062061968,-72.62411486365835
519,3,-36.68701054269379,-72.61294399975186
520,3,-36.678896539699856,-73.1382449039615
521,3,-36.67928461128975,-73.12708196775915
522,3,-36.67967163991611,-73.11591881818765
523,3,-36.68005762551609,-73.10475545581698
524,3,-36.684234609583974,-72.98194458808786
525,3,-36.68460807403039,-72.97077871661322
526,4,-36.68498049464929,-72.95961263975578
527,3,-36.68535187138024,-72.94844635808649
528,2,-36.68572220416295,-72.93727987217636
529,3,-36.68609149293727,-72.9261131825965
530,3,-36.686459737643276,-72.91494628991808
531,2,-36.686826938221174,-72.90377919471227
532,3,-36.68719309461134,-72.89261189755041
533,2,-36.68755820675431,-72.88144439900381
534,2,-36.68792227459082,-72.8702766996439
535,2,-36.68828529806174,-72.85910880004215
536,2,-36.68864727710815,-72.84794070077011
537,2,-36.689008211671215,-72.83677240239939
538,3,-36.68936810169236,-72.82560390550165
539,3,-36.68972694711314,-72.81443521064867
540,2,-36.69008474787526,-72.80326631841218
541,2,-36.69044150392062,-72.7920972293641
542,3,-36.69079721519127,-72.78092794407634
543,2,-36.69115188162944,-72.76975846312088
544,2,-36.69150550317752,-72.75858878706978
545,2,-36.69185807977806,-72.74741891649518
546,2,-36.692209611373805,-72.73624885196921
547,2,-36.69256009790764,-72.72507859406416
548,2,-36.69290953932263,-72.7139081433523
549,2,-36.69325793556202,-72.702737500406
550,2,-36.6936052865692,-72.69156666579772
551,2,-36.693951592287725,-72.68039564009993
552,2,-36.69429685266134,-72.66922442388517
553,2,-36.69464106763395,-72.65805301772606
554,3,-36.69498423714964,-72.64688142219529
555,2,-36.69532636115263,-72.63570963786557
556,2,-36.69566743958734,-72.62453766530973
557,2,-36.69600747239834,-72.61336550510059
558,0,-36.68749863791079,-73.14989146703942
559,3,-36.687887879095655,-73.13872745222913
560,3,-36.688276077041614,-73.12756322338169
561,2,-36.68866323168568,-73.11639878106728
562,2,-36.68904934296501,-73.10523412585619
563,0,-36.689434410816986,-73.09406925831873
564,4,-36.69360127322796,-72.97124186505351
565,3,-36.69397381512473,-72.9600744941112
566,3,-36.69434531279474,-72.9489069182631
567,2,-36.694715766177694,-72.93773913808056
568,3,-36.69508517521342,-72.92657115413486
569,2,-36.69545353984196,-72.91540296699745
570,3,-36.69582086000348,-72.9042345772398
571,2,-36.69618713563833,-72.89306598543347
572,2,-36.69655236668705,-72.88189719215002
573,2,-36.69691655309031,-72.87072819796117
574,3,-36.697279694788975,-72.85955900343865
575,2,-36.69764179172405,-72.84838960915425
576,2,-36.69800284383674,-72.83722001567985
577,2,-36.6983628510684,-72.82605022358737
578,2,-36.69872181336055,-72.81488023344883
579,2,-36.69907973065489,-72.80371004583625
580,2,-36.69943660289327,-72.79253966132181
581,3,-36.69979243001773,-72.78136908047763
582,3,-36.700147211970474,-72.77019830387601
583,2,-36.700500948693836,-72.75902733208925
584,2,-36.700853640130376,-72.74785616568973
585,2,-36.70120528622279,-72.73668480524985
586,2,-36.70155588691393,-72.72551325134218
587,2,-36.701905442146845,-72.71434150453922
588,2,-36.70225395186474,-72.70316956541365
589,2,-36.702601416010985,-72.69199743453812
590,3,-36.70294783452911,-72.6808251124854
591,3,-36.70329320736286,-72.66965259982828
592,3,-36.703637534456064,-72.65847989713967
593,3,-36.703980815752786,-72.64730700499247
594,3,-36.70432305119724,-72.63613392395969
595,2,-36.70466424073382,-72.6249606546144
596,2,-36.705004384307045,-72.6137871975297
597,4,-36.69648983150905,-73.15037552246142
598,4,-36.69687919941722,-73.13921021453395
599,3,-36.69726752374811,-73.12804469247119
600,3,-36.697654804438685,-73.11687895684359
601,2,-36.69804104142611,-73.10571300822173
602,3,-36.70222074606907,-72.98287367899798
603,3,-36.7025944537765,-72.97170521897078
604,4,-36.70296711697885,-72.96053655337239
605,3,-36.70333873561559,-72.94936768277424
606,3,-36.70370930962637,-72.93819860774789
607,3,-36.70407883895101,-72.92702932886495
608,3,-36.70444732352951,-72.91585984669709
609,3,-36.70481476330202,-72.90469016181603
610,2,-36.705181158208866,-72.89352027479362
611,2,-36.705546508190515,-72.88235018620166
612,2,-36.70591081318766,-72.87117989661215
613,2,-36.706274073141095,-72.86000940659704
614,3,-36.706636287991834,-72.84883871672841
615,2,-36.706997457681034,-72.8376678275784
616,2,-36.707357582150024,-72.82649673971919
617,2,-36.70771666134029,-72.81532545372303
618,2,-36.70807469519351,-72.80415397016225
619,2,-36.70843168365151,-72.79298228960923
620,2,-36.7087876266563,-72.7818104126364
621,2,-36.709142524150025,-72.7706383398163
622,2,-36.709496376075066,-72.75946607172149
623,2,-36.70984918237387,-72.74829360892461
624,2,-36.710200942989154,-72.73712095199834
625,2,-36.71055165786373,-72.72594810151547
